parrucchiere;Friseur, Frisör
segreto;geheim, heimlich, verborgen, verstohlen/ Geheimnis, Hehl
grasso;feist, fett, fettig, geil/ Fett
risultato;Erfolg, Ergebnis, Resultat
banda;Allianz, Band, Bund, Bündnis, Liga, Verband, Verbindung
Scozia;Schottland
salotto;Aula, Salon
equilibrio;Gleichgewicht
adultero;ehebrecherisch/ Ehebrecher
cervello;Gehirn, Hirn
diario;Tagebuch
salsa;Brühe, Sauce, Soße, Tunke
caffeina;Koffein
personale;Personal/ persönlich
miope;kurzsichtig
congiunto, parento;verwandt
elica;Schneckenlinie, Schraube
astratto;abstrakt, begrifflich, unwirklich
primavera;Frühjahr, Frühling, Lenz
minorità;Minderheit
insudiciare, sporcare;beschmutzen, einschmutzen
portacenere;Aschenbecher
bacca;Beere
goccia;Tropfen
biglietto;Billett, Fahrkarte, Karte
lepre;Hase
Roma;Rom
miseria;Elend, Not
bagnarsi;baden, ein Bad nehmen
avvicinarsi;sich nähern
geografia;Erdbeschreibung, Erdkunde, Geographie
metodo;Methode
osso;Gebein, Knochen
pregare;beten
Cristo;Christus
vendetta;Rache
curvarsi;hängen, sich bücken/ biegen
fanale posteriore, luce di posizione;Rücklampe, Schlußlicht, Schlußlampe
Nuova York;New York
sarto;Schneider
parentado;Verwandtschaft
ogni, ognuno;jeder, ein jeder, jedermann, jeglicher
delicato;delikat, fein, zart
pubblicare;ankündigen, anzeigen, avisieren, melden, anmelden, verkünden/ ausrufen, proklamieren/ veröffentlichen
mandare;schicken, senden, einsenden
rovesciare;kappen, umstoßen, umstürzen, umwerfen
avambraccio;Unterarm
dilettante;Amateur, Liebhaber
esaminare;examinieren, inspizieren, nachsehen, prüfen, untersuchen
potere;Gewalt, Macht, Potenz/ dürfen, können, vermögen
ammalarsi;erkranken, krank werden
esteriore;Äußeres, Anblick
forse;eventuell, möglicherweise, vielleicht, wohl
a memoria;auswendig, aus dem Kopf
Corano;Koran
causare;antun, bewirken, veranlassen, verursachen, zufügen
divertente;lustig, unterhaltsam, amüsant
analizzare;analysieren, auflösen, zergliedern
