planned performance;geplante Leistung, Leistungsvorgabe
foreign liabilities;Auslandsverbindlichkeiten
battery of questions;Fragenkomplex
mobile shop;fahrbare Verkaufsstätte, Wagen auf Rädern
telephone directory;Fernsprechbuch
sacrifice;Opfer, Verlust
human touch;menschliche Note
intermittent element;einzuschiebendes Arbeitselement
denomination of a bank note;Nennwert einer Banknote
salvage value;Bergungswert
incoming goods;Eingangsware
acquisition of property;Eigentumserwerb
illegal entry;illegale Einfuhr
operate day and night;rund um die Uhr arbeiten
action for an injunction;Antrag auf Erlass einer einweiligen Verfüg., Unterlassungsklage
discounting of a bill;Wechseldiskontierung
advertising discount;Werberabatt
power of alienation;Veräußerungsrecht
bi-metallism;doppelter Münzstandard
building loan;Baudarlehen
host;Gastgeber
in accordance with;in Übereinstimmung mit
fishmonger;Fischhändler
remote relative;entfernter Verwandter
serial;Reihe, Serie
by specified date;bis zum genau angegebenen Datum
cosulting engineer;Betriebsberater
dishonoured note;nicht eingelöster Wechsel
to budget for a purchase;einen Kauf ins Budget einplanen
optional insurance;freiwillige Versicherung
trading area;Absatzgebiet
they prefer to have control;sie ziehen es vor die Verfügungsgewalt zu haben
law of exception;Gesetz der Ausnahme
not feasible;nicht durchführbar
to load the goods;die Ware zu verladen
rationalization efforts;Rationalisierungsbemühungen
laboratory technician;Labortechniker
spare;erübrigen
imported commodities, imported goods;Einfuhrwaren, eingeführte Waren
postal interview;briefliches Interview
contestation;Anfechtung
stringency;Strenge
amenity value;Annehmlichkeitswert
kind of risk;Art von Risiko
bank with;ein Konto haben bei
presumption;Annahme
happy;glücklich
accompanying papers;Begleitpapiere
forward seller;Terminverkäufer
frequency of loss;Schadenshäufigkeit
dividend paper;Wertpapier mit Anspruch auf Dividende
colour contrast;Farbkontrast
usage of trade, usance;Handelsbrauch
individual file;persönliche Akte
right and left hand chart;Zweihanddiagramm
averaging;Durchschnittberechnung
to fix a price;einen Preis festlegen
share hawking;mit Aktien hausieren
managent and control;Leitung und Kontrolle
operating of a machine;Bedienung einer Maschine
management game;Unternehmungsplanspiel
new designs;neue Muster, neue Modelle
advertising support;Werbeunterstützung
whenever the salesman calls;immer wenn der Verkäufer einen Besuch macht
large profit;hoher Gewinn
laboratory;Labor, Laboratorium
to join an action;einem Prozess als Nebenkläger beitreten
VAT;Mehrwertsteuer
round off;abrunden
transitional provisions, transitory provisions;Übergangsbestimmungen
town house;Stadthaus
telegraphic style;Telegrammstil
if the order includes an instruction;wenn der Auftrag eine Anweisung enthält
key date;Stichtag
form of a document;Form, Aufmachung eines Dokuments
false imprisonment;Freiheitsberaubung
appeal;Anreiz, appellieren, reizen
run on a bank;Ansturm auf eine Bank
economic centre;Wirtschaftszentrum
storage costs;Lagerungskosten
statute;Gesetz
domicile;Wohnort, Zahlungsstelle
object clause;Unternehmenszweckbeschreiungsklausel
main supplier;Hauptlieferant
civil law;bürgerliches Recht
distributing agency;Vertriebsagentur
certificate of inspection;Abnahmebescheinigung, Prüfungszeugnis, Warenprüfbescheinigung
ocean route;Seeroute
depreciation of currency;Geldentwertung
flow of money;Geldbewegung
export financing;Exportfinanzierung
area of responsibility;Verantwortungsbereich
until the final instalment is paid;bis die letzte Rate bezahlt ist
lender of capital;Kapitalgeber
electronic calculator;elektronischer Rechner
industrial securities;Industrieobligationen
audience analysis;Publikumsanalyse
information desk;Auskunftsschalter
living;Unterhalt, Lebensunterhalt
issue tax;Emissionssteuer
less disbursements;abzüglich Aufwendungen
indication of ingredients;Angabe der Zugaben
standard make;Standardausführung
occasional element;gelegentliches zusätzliches Arbeitselement
salary scale;Gehaltsabstufung
work full-time;ganztägig arbeiten
the period covered;der Berechnungszeitraum
in the event of non-payment;bei Nichtzahlung
tax relief;Steuererleichterung
security portfolio;Wertpapierportefeuille
final draft;endgültiger Entwurf
exhibition;Ausstellung
discretionary clause;Kannvorschrift
bull;Bulle' an der Börse, Haussier, Hausse-Spekulant
impulse;Anstoß
topical;aktuell
produce exchange;Produktenbörse, Warenbörse
multimodal transport documents;multomodale Transportdokumente
strain of being on night shift;Belastung der Nachschicht
give the buyer notice;den Käufer benachrichtigen
abandon a security;auf eine Sicherheit verzichten
between the parties;zwischen den Parteien
push;schieben, treiben, Schub
letter;Brief, Drucktype, Buchstabe
team work;Teamarbeit, Gruppenarbeit, Teamwork
returns from landed property;Grundstücksertrag
differential timing;Folgezeitmethode
gift coupon;Gutschein, Geschenkgutschein
sales department;Verkaufsabteilung
beggars have no choice;Bettler haben keine Wahl
absorption power;Aufnahmefähigkeit
above-mentioned;obenerwähnt
bill of lading covering carriage by sea;Seekonnossement
total utility;Gesamtnutzen
carriage paid;Frant im voraus bezahlt
permanent advertisement;Daueranzeige
parity of exchange;Kursparität
coming into force;Inkrafttreten
main artery road;Hauptverkehrsstraße
date of departure;Abreisetag, Abreisetermin
relative by marriage;verschwägert
no particular quay;kein bestimmter Kai
plant manager;Werksleiter
ledger keeper;Hauptbuchführer
selling experience;Verkaufserfahrung
case of need;Notfall
conventional;konventionell
service industries, service industry;Dienstleistungsgewerbe
opening;Geschäftseröffnung, freie Stelle, offene Stelle, Eröffnung
a set of rules for;eine Reihe von Regeln für
grant-aided;staatlich unterstützt
job value;Wert einer Tätigkeit
change of personnel;Wechsel des Personals
testament;Testament
obliging;zuvorkommend, höflich, kulant
we have come to know that;wir haben erfahren dass
if such instructions are not received;falls solche Weisungen nicht eingehen
concentration of authority;Machtanhäufung
out of work;arbeitslos, ohne Arbeit
deck cargo;Deckfracht
work done;erledigte Arbeit, vollbrachte Arbeit
part payment;Teilzahlung
increase of dididends;Erhöhung der Dividenden
in my discretion;nach meinem Ermessen
interstate commerce;zwischenstaatlicher Handel (US)
keep for sale;zum Verkauf bereit halten, feilhalten
obsolescence;Überalterung von Geräten, Veralterung, Veralterung eines Gebrauchsgegenstandes
cheque account;Scheckkonto
distribution centre;Verteilungszentrum, Absatzzentrum
frequency curve;Häufigkeitskurve
keep secret;geheim halten
key money;bei Schlüsselübergabe zu zahlendes Geld
future delivery;Termingeschäft
prospectus;Prospekt
the new title was chosen;der neue Titel wurde gewählt
on or before the expiry date;am oder vor dem Verfalldatum
sales confirmation;Auftragsbestätigung
main earner;Hauptverdiener
deposit money;Buchgeld, Geld einzahlen
national economy;Volkswirtschaft
development of an industrial area;Entwicklung eines Industriegeländes
convertability;Umwandelbarkeit, Konvertierbarkeit
media selection;Medienauswahl
collection agency;Inkassobüro
on allottment;bei Zuteilung
ordinary partner;voll haftender Teilhaber
tortious act;unerlaubte Handlung
lower management;untere Führungsebene
safe to operate;betriebssicher
money transfer;Geldüberweisung
development of prices;Entwicklung der Preise
collateral loan;Lombardkredit
cooperation;Zusammenarbeit
bank statement;Kontenauszug der Bank
in the absence of such instructions;bei Fehlen solcher Weisungen
rest allowance;Ausfallzeitenvergütung, Zugabe für Ruhezeit
immobilize;unbeweglich machen, festlegen
item of the balance sheet;Bilanzposten
allocation;Etat, Zuteilung, Zuweisung
freight rate;Frachtsatz
in-service education;betriebliche Ausbildung, A. während der Dienstzeit
acceptance house;Bank spezialisiert in Wechselakzept (Br.)
to take into account;berücksichtigen
zero-rated;von der Mehrwertsteuer befreit
last in - first out;Bearbeitung des zuletzt hereingekommenen, Bewertung nach Wiederbeschaffungspreis, in umgekehrter Reihenfolge
disable;unfähig machen, unfähig sein
are brought into contact;kommen zusammen, treffen sich
back pay;Nachzahlung
additional charge;Zuschlag
bond market;Anleihenmarkt
application for membership;Betrittsanmeldung
in the named port;in dem benannten Hafen
vocational adviser, vocational advisor;Berufsberater
gold coin;Goldmünze
the cost of air freight;die Kosten der Luftfracht
to become operative;in Kraft treten, wirksam werden
excess profit;Übergewinn
boss;Chef
endorsee;Indossatar
technology;Technologie, Verfahrenstechnik, Methode
birthday;Geburtstag
future transactions;Termingeschäfte
permanent;dauerhaft, von Dauer
non-payment;Nichtzahlung
unprofitable prices;unrentable Preise
money due;Außenstände
in the event of goods being dispatched;falls Waren versandt werden
market atmosphere;Marktklima
field of activity;Arbeitsbereich, Tätigkeitsbereich
seal of approval;Gütesiegel
savings club;Sparverein
video entertainment;Videounterhaltung
change of rates;Kursänderung
direct materials;einer Ware zugeordnetes Material
sick benefit;Krankengeld
corporation tax;Körperschaftssteuer
interview;Interview
chief executive;leitender Angestellter
reminder;Mahnung, Mahnschreiben
income in kind;Naturaleinkommen
wrong decision;Fehlentscheidung
foreign-controlled;in ausländischem Besitz
shaft;Schacht
satisfy needs;den Bedarf decken
reorganize;neuorganisieren, umstellen
thereupon;alsdann
bulk purchase;Massenkauf
futures trading;Terminhandel
check study;Kontrolluntersuchung, Kontrollzeitstudie, Kurzuntersuchung
chief product;Hauptprodukt
liable for payment of the debts;für die Schulden haften
casual employment;Gelegenheitsbeschäftigung, Gelgenheitsarbeit
home delivery;Anlieferung frei Haus
credit institution;Kreditanstalt
oligopoly price;Oligopolpreis
scale of discount;Rabattstaffel
sum of acquittance;Abfindungssumme
hourly output;Stundenleistung
standardized product;genormter Artikel, Standardartikel
classification of ships;Klassifizierung von Seefahrzeugen
market hall;Markthalle
marine perils;Gefahren der See
clippings;Zeitungsausschnitte
railway junction;Eisenbahnknotenpunkt
agree;übereinstimmen, vereinbaren
monthly balance sheet;Monatsbilanz
bank stock;Bankkapital
dividend on common stock;Dividende auf Stammaktien
notice in writing;schriftliche Kündigung, Benachrichtigung
code word;Kennwort, Schlüsselwort
partial payments will be accepted;Teilzahlungen werden angenommen
hypothecation;Beleihung, Verpfändung
bounf by instructions;weisungsgebunden
secretarial;die Arbeit des Sekretariats betreffend
partial analysis;partielle Analyse
at company expense;zu Kosten der Firma
source of earnings;Einkommensquelle
trade folder;Händlerprospekt
poster designer;Plakatgestalter
co-worker;Mitarbeiter
mean any arrangement;stehen für jegliche Vereinbarung
cleaning implements;Reinigungswerkzeug
debts of a company;Schulden einer Firma
less expensdes;abzüglich Auslagen
acknowledgement of receipt;Empfangsbestätigung
domestic debts;Inlandsschulden
interim certificate;Interimsschein, Zwischenbestätigung
advice of deal;Ausführungsanzeige
possession;Besitz
study group;Arbeitsgemeinschaft, Forschungsgemeinschaft
misdemeanour;Fehlverhalten, Vergehen
service interruption;Bedienungsunterbrechung
adequate compensation;angemessene Entschädigung
element of motion;Bewegungselement
terms of a loan;Darlehensbedingungen
the collection of commercial paper;das Inkasso von Handelspapieren
creditor by endorsement;Girogläubiger
earner;Verdiener
at par;zum Nennwert
the extent of the insurance cover;der Umfang des Versicherungsschutzes
interaction;Wechselkwirkung
accident prevention;Unfallverhütung
name of maker;Name des Herstellers
business address;Geschäftsanschrift
division;Teilung, Unterteilung, Abteilung
labour bureau;Arbeitsamt
machine element;Element der Maschinentätigkeit
to make a living;seinen Lebensunterhalt verdienen
misguided;fehlgeleitet
assort;sortieren
application for admission;Zulassungsantrag
bucketeer;zweifelhafter Börsenmakler
general maintenance work;laufende Instandhaltungsarbeiten
collapse of a bank;Zusammenbruch einer Bank
movement in supply;Veränderung des Angebots
soil composition;Bodenzusammensetzung
group buying;Gruppenkauf
negotiation of a B/L;Begebung eines Wechsels
operate at a deficit, operate at deficit;mit Verlust arbeiten
credit note;Gutschrift
foolscap;Kanzleipapier
investment in foreign countries;Auslandsinvestitionen
redeemable securities;Wertpapiere die zurückgekauft werden
certificate;Bescheinigung, Zertifikat, Diplom
lot size;Losgröße
informative advertising;aufklärende Werbung
primary education;Grundschulbildung
oath of office;Diensteid
personal chattels;persönliches Gut, bewegliches Gut, Hausrat
to release goods;Waren übergeben
for the purpose;für den Zweck
hoarding of money;Horten von Geld
arrears of rent;Mietrückstand, Pachtrückstand
letter of intent;vorläufige Bestellung, Absichtserklärung
reservation;Reservierung
balance of an invoice;Rechnungsbetrag, Rechnungssaldo, Saldo einer Rechnung
give notice of said arrangements;von diesen Vorkehrungen benachrichtigen
decrement;Verminderung
enterprising;unternehmenslustig
bearing interest;verzinslich
place funds;Geld anlegen
terms of payment;Zahlungsbedingungen
part;Teil, Einzelteil, Teilbetrag
uncovered cheque;ungedeckter Scheck
discontented;unzufrieden
sterling area;Sterling Gebiet
application of funds;Verwendung der Mittel
tender of securities;Angebot von Sicherheitsleistungen
foreign call;Auslandsgespräch
abolish;abschaffen
waste of time;Zeitverschwendung
psychic;psychisch
effective;wirksam, wirkend, in Kraft
bear all taxes;alle Steuerabgaben übernehmen
motive force;bewegende Kraft, Motivation
elevator;Getreidesilo, Fahrstuhl (US)
ton;Tonne
motivation research;Motivforschung
analysis of trends;Trendanalyse
declare oneself bankrupt;sich bankrott melden
expiration of the validity;Ablauf der Gültigkeit, Ablauf der Laufzeit
marginal efficiency of capital;Grenzleistung des Kapitals
account payee only;nur auf das Konto des Begünstigten, nur für Rechnung des Begünstigten
crincled cardboard;Wellpappe
handicaps to trade;Handelshemmnisse
investment gain;Gewinn aus Kapitalanlagen
to fill a gap;eine Lücke füllen
bonus reserve;Dividendenreserve
delayed dispatch;verzögerter Versand
mutual fund;Investitionsfonds
pattern book;Musterbuch
Lloyd's Register;LLoyds Schiffahrtsregister
tenancy agreement;Mietvertrag, Pachtvertrag
convention;Abkommen
factory floor;Fabrikraum
forged cheque;gefälschter Scheck
municipal rates;Gemeindeabgaben
production bonus;Produktionsprämie
maintained price;gebundener Preis
any reference whatsoever;irgendwelche Bezugnahme
remind;erinnern, mahnen
market for futures;Terminmarkt
saving deposit;Spareinlage
waste;verschwenden, Abfall, Verschwendung
waggon train;Güterzug
and/or;und/oder
balanced budget;ausgeglichener Etat
the following expressions;die nachstehenden Ausdrücke
technical advice;technische Beratung
operative part;wirksamer Anteil
depreciated currency;entwertete Währung
from whom it received the order;von dem es den Auftrag erhielt
finishing time;Beendigung
effective demand;tatsächliche Nachfrage, wirksame Nachfrage
throughput;Durchsatz
expert;Fachkundiger, Sachverständiger
are binding on all parties;sind für alle Beteiligten bindend
keystroke;Anschlag einer Taste
programme;Programm (Br.)
acceptance against documents;Annahme gegen Dokumente
range;Bereich, Schwankungsbereich
thereof;hiervon
auction;Versteigerung
temporary investment;kurzfristige Kapitalanlage
mail;Post, mit der Post senden
buy up;aufkaufen
clearing bank;Verrechnungsbank
accident analysis;Unfallursachenanalyse
as listed below;wie unten aufgelistet
to take a day off;einen Tag frei nehmen
migrant population;Bevölkerung ohne festen Wohnsitz
wages in kind;Naturallohn
has taken into account;hat in Betracht gezogen
overall demand;Gesamtnachfrage
anti-working-class;arbeiterfeindlich
commission for collection;Inkassoprovision
in agreement with;übereinstimmend mit
handworked;handgearbeitet, handgefertigt
minimum;Minimum, mindest, minimal
array;mathematische Anordnung, Array
shipbuilding shares;Aktien der Schiffsbauindustrie
make out a list;eine Liste erstellen
not inconsistent with;nicht im Widerspruch zu
movables;bewegliche Güter
mass unemployment;Massenarbeitslosigkeit
where payment is called for;wenn Zahlung verlangt wird
skilled labour, skilled tradesman;Facharbeiter
vanguard;Vorhut
we specialize in distribution;wir spezialisieren uns auf den Vertrieb
put up the bank rate;den Diskontsatz erhöhen (Br.)
gold cover, gold coverage;Golddeckung
rate of dividend;Dividendensatz
accountant;Buchhalter, Fachmann/-frau des Rechnungswesen, Kontenführer
right of disposing of a thing;Recht ein Ding zu veräußern
reliable;zuverlässig, sicher
deliberate act;vorsätzliche Handlung
depositary;Depotstelle, Verwahrer
accessory after the fact;Helfer nach der Tat (nach dem Verbrechen)
day of departure;Tag der Abfahrt
sales revenue;Ertrag aus Verkäufen
to quit the service;den Dienst quittieren, ausscheiden
subject to these limitations;unter diesen Beschränkungen
network of trunk roads;Fernstraßennetz
import permit;Einfuhrerlaubnis
support;unterstützen, Unterstützung, stützen
sale ex bond;Verkauf ab Zollager
to be skilled in one's trade;über Fachausbildung verfügen
work simplification;Arbeitsvereinfachung
dissolve;auflösen
flow of production;Fertigungsfluss
original capital;Gründungskapital
from hearsay;aus Gerüchten, vom Hörensagen her
natural resources;Bodenschätze, Rohstoffquellen
responsible for any consequences;verantwortlich für alle Folgen
list;Liste
international money order;internationale Postanweisung
management by system;systemorientierte Betriebsführung, systemorientierte Führung
price alteration;Preisänderung
to enable him;um es ihm zu ermöglichen
credit period;Kreditlaufzeit
outbid;überbieten
training within industry;Ausbildung am Arbeitsplatz
terms of lease;Pachtbedingungen
flexible;anpassungsfähig, beweglich, flexibel, wendig
we use them every day;wir wenden sie täglich an
cash on delivery;gegen Nachnahme, Nachnahme
comeback;Neuanfang
to stand to the contract;sich an den Vertrag halten
their contracts will be governed;ihre Verträge werden geregelt
list price;Listenpreis
floating-point calculation;Gleitkommarechnung
amount of balance;Saldobetrag
a defective condition of the goods;ein mangelhafter Zustand der Ware
farm labour;Landarbeit
previous day;vorige Tag
adequate answer;angemessene Antwort
evidence;Beweis, Beweismaterial, Belege
detach;abtrennen
expected frequency;erwartete Häufigkeit
budget sum;Etatsumme
commercial intercourse;Handelsverkehr
rehire;wieder anheuern, wieder einstellen
line production;Bandproduktion, Fließfertigung, kontinuierliche Produktion
cheap money;billiges Geld, billiges Geld wegen billiger Zinsen
favourable balance of trade;aktive Handelsbilanz
veterinarian;Tierarzt
double column advertisement;zweispaltige Anzeige
form of payment;Zahlungsweise
to induce sb. to buy;jemanden zum Kauf verleiten
and not at the ship's rail;und nicht bei Überschreiten der Reling
cash deposit;Bareinlage, Bareinzahlung
time study board;Schreibunterlage für Zeitaufnahmen
product development;Produktentwicklung
permanent office;ständiges Büro
payment in cash;Zahlung in bar
freelance;freiberuflich, freie Mitarbeit
close of argument;Schluss der Beweisführung
such as those;wie zum Beispiel jene
allotment;zugewiesener Teil vom Ganzen, Zuteilung, Zuweisung, zugewiesene Fläche
to transfer title;die Verfügungsgewalt übertragen
dismiss;ablehnen, entlassen
floating policy;Generalpolice, offene Police
on this problem;für dieses Problem
screen advertising;Filmwerbung
office premises;Geschäftsräume
can be mentioned;angegeben werden kann
verbal agreement;mündliche Vereinbarung
morning shift;Frühschicht
invoice;Rechnung
long dated;langfristig
mail-order wholesaler;Versandgroßhändler
programmer;Programmierer
net cost price;Selbstkostenpreis
assessment of duty;Festsetzung des Zolles, Zollfestsetzung
increase of hazards;Erhöhung der Gefahren
covered market;Markt in einer Markthalle, Markthalle
foreign order;Auslandsauftrag
gain 5 points;sich um 5 Punkte verbessern
bounty on exports;Ausfuhrvergütung
capacity to contract;Geschäftsfähigkeit
recruit;einstellen, rekrutieren, Rekrut, neu Eingestellter
transit passengers;Transitpassagiere
articles of clerkship;kaufmännischer Ausbildungsvertrag, Lehrvertrag
under separate cover;in getrenntem Umschlag
amusement;Vergnügen
stock control;Lagerüberwachung
per diem;je Tag
impostor;Schwindler
manageress;Abteilungsleiterin, Direktrice, Leiterin, Geschäftsführerin
mailing expenses;Versandkosten
present for acceptance;zum Akzept vorlegen, zur Akzeptierung vorlegen
guaranteed price;garantierter Preis
government;Regierung
work element;Arbeitselement, Arbeitsteil
to stimulate customers' interests;die Interessen der Käufer wecken
incorporeal chattels;immaterielle Rechte
of average kind and quality;von mittlerer Art und Güte
optimization;Optimoierung
ratify;ratifizieren
final stock;Endbestand
act of transfer;Abtretung
the rules relating to;die Regeln bezüglich
working hours;Arbeitszeit
administratrix;Vermögensverwalterin
planned obsolescence;eingeplante Obsoleszenz, eingeplante Veralterung eines Gebrauchsguts
trade bill;Handelswechsel
agitator;Agitator
nationally owned enterprise;volkseigener Betrieb
part number;Teilenummer
award;Belohnung, Preis, Prämie
frontier crossing;Grenzüberschreitung
execution of an order;Auftragsausführung
the stipulations of the credit;die Akkreditiv-Bedingungen
inducement;Anreiz
patent description;Patentbeschreibung
reputed owner;scheinbarer Eigentümer
violation of a contract;Vertragsverletzung
overheated boom;überhitzte Konjunktur
approximated;aufgerundet, annähernd
level off;ebnen
fool-proof;narrensicher
labour camp;Arbeitslager
port of importation;Importhafen
unregistered;nicht registriert
penetrate;durchdringen
mortgage term;Laufzeit der Hypothek
short-run analysis;Kurzzeitanalyse
exact marking instructions;genaue Markierungsanweisungen
to renew a contract;einen Vertrag verlängern
register of companies;Handelsregister
batch production;Chargenfertigung
index of advertisers;Verzeichnis der Inserenten
car owner;Wagenhalter, Kfz-Halter
cut;herabsetzen, senken, kürzen
provide the packing of the goods;für die Verpackung der Ware zu sorgen
direct;direkt
mail-order establishment, mail-order firm;Versandhaus, Versandunternehmen
ordinary partnership;oHG
failure of consideration;mangels Gegenleistung
documents will only be released;Dokumente werden nur freigegeben
pollster;Meinungsforscher
assertion;Behauptung
the date agreed for delivery;der vereinbarte Lieferzeitpunkt
delays resulting from this;sich hieraus ergebende Verzögerungen
necessities;lebensnotwendige Güter
incur debts;Verpflichtungen eingehen
loss of time;Zeitverlust, Zeitausfall
nil;null
sales manual;Verkäuferhandbuch
emigrate;auswandern
incentive bonus, incentive earnings;Leistungsprämie
optimization program;Optimierungsprogramm
occupation census;Berufszählung
repair time;Reparaturzeit
bill surety;Wechselbürge, Wechselbürgschaft
uncleared cheque;noch nicht verrechneter Scheck
we intend to secure orders from abroad;wollen Auslandsaufträge hereinbringen
sit;sitzen
to accept under reserve;unter Vorbehalt akzeptieren
sales territory;Verkaufsgebiet
manufacturing costs;Herstellungskosten
three basic principles;drei grundlegende Gesichtspunkte
misenter;falsch verbuchen
stock market;Effektenmarkt
acceleration clause;Klausel die sofortige Zahlung fordert
quantity calculation;Mengenberechnung
half-price;halber Preis
bookmaker;Buchmacher
fractional amount;Bruchteil
hidden reserve;versteckte Reserve
make an agreement;einen Vertrag schließen
postal code;Postleitzahl (Br.)
joint use;gemeinschaftliche Nutzung
office accomodation;Büroräume
financial budget;Finanzierungsplan
heaviness;Schwierigkeit einer Arbeit
at a discount;verbilligt, herabgesetzt
population movement;Bevölkerungsbewegung
invitation;Einladung, Aufforderung
personal representative;Vertreter einer Person
law merchant;allgmeines Handelsrecht
corrugated cardboard;Wellpappe
to take up capital;Kapital aufnehmen
interest in the partnership;Geschäftsanteil
standard of living;Lebensstandard
correlation;Korrelation
split commission;geteilte Provision
prohibition;Verhinderung, Verbot
keep off from;abhalten von
term of lease;Pachtdauer
inable to pay;zahlungsunfähig
receipt form;Quittungsformular
national savings bank;Postsparkasse (Br.)
countable;zählbar
waterways;Wasserstraßen
commercial grade;Handelssorte
harbour master;Hafenmeister
compact;kompakt
foreign suppliers;Auslandslieferanten
stock exchange value;Börsenwert
date of receipt;Eingangsdatum
at the best;bestmöglich
census of population;Volkszählung
marketing director;Vertriebsdirektor
customary packing;handelsübliche Verpackung
refund money;Geld zurückerstatten
shopping habits;Einkaufsgewohnheiten
church tax;Kirchensteuer
crucial point;entscheidender Punkt
highest rate;höchster Satz
to absorb another company;eine ander Firma übernehmen
gross weight;Bruttogewinn
contribution;Beitrag
high class;erstklassig, von hoher Qualität
channel of commerce;Handelsweg
by the usual route;auf dem üblichen Wege
randomly selected;zufällig ausgewählt
market forecasts;Marktprognosen
operational hazards;Arbeitsrisiken, Betriebsgefahren
junk dealer;Trödler, Gebrauchtwarenhändler
contains useful information;enthält wertvolle Information
graduate;Absolvent
piece of information;eine Information
heavy cargo;Schwergut
house bill;aufs eigene Haus gezogener Wechsel
implication;Implikation
letter of complaint;Beschwerdebrief
reduced dividend;gekürzte Dividende
undecided;unentschlossen
contract of personal service;Dienstvertrag
provide the transport document;das Versanddokument beschaffen
written evidence;schriftlicher Beweis
adjournment of a meeting;Vertagung einer Zusammenkunft, Sitzung
team of canvassers;Werbekolonne
these rules give;diese Richtlinien enthalten
nomination by the issuing bank;Benennung durch die eröffnende Bank
any charges incurred by banks;alle Gebühren, die den Banken entstehen
additional clauses;zusätzliche Klauseln
notice of exemption;Freistellungsbescheid
insurance against fire;Versicherung gegen Feuersschäden
evasion of taxes;Steuerumgehung
area;Fläche, Bereich, Gebiet
city transportation;städtische Verkehrsmittel
packed for sea transport;verpackt für Überseetransport
banking business;Bankgewerbe, Bankgeschäft
central bank council;Zentralbankrat
financing;Finanzierung
inactive capital;brachliegendes Kapital
stamp duty;Stempelsteuer, Stempelgebühr, Stempelabgabe
the presentation;die Vorlegung
find a fault;einen Fehler finden
uncertain;unsicher
imperilled;Gefahren ausgesetzt
shopping bag;Einkaufsbeutel, Einkaufstasche
release;freigeben, ausgeben, Freigabe, Ausgabe
should not be dispatched direct;sollten nicht direkt versandt werden
grouping;Einstufung in Gruppen, Gruppierung, Eingruppierung
grade rate;Tariflohnsatz
know-it-all;Alleswisser, Besserwisser
to place an order for a new item;einen neuen Artikel bestellen
paste-on label;Aufkleber
transfer of title;Eigentumsübertragung
establish a basis;eine Grundlage schaffen
fair game;faires Spiel
brand advertising;Werbung für eine Marke
unsatisfactory;unzufriedenstellend, unbefriedigend
commercial usage;Handelsbrauch
railway;Eisenbahn
confirmation of payment;Zahlungsbestätigung
phone interview;telefonisches Interview
sentimental value;Liebhaberwert
financial documents;Zahlungspapiere
mortgage debenture;Hypothekenpfandbrief
allow a discount;einen Rabatt gewähren
the seller's only responsibility;des Verkäufers einzige Verantwortung
in capital letters;in Großbuchstaben
economic indicator;Wirtschaftsindikator
legal costs;Prozesskosten
family-supported;von der Familie unterstützt
subsequent endorser;nachfolgender Indossant
sell abroad;ins Ausland verkaufen
steady behaviour;gleichbleibendes Verhalten
skilled worker;Facharbeiter
limited liability company;Gesellschaft mit beschränkter Haftung, GmbH
foreign trade contracts;Außenhandelsverträge
instructions for any amendments;Aufträge zu Änderungen
lottery;Lotterie
fill up;auffüllen
deferment;Aufschub
worthless;wertlos
complementary food;sich ergänzende Lebensmittel
flat ratings;niedrige Arbeitsbewertung
training facilities;Ausbildungseinrichtungen
formality;Formalität, Formsache
import-turnover tax;Einfuhrumsatzsteuer
resistance;Widerstand, Zurückhaltung
damage caused by delay;Verzugsschaden
incompetent;nicht kompetent
interest on investments;Zinsen aus Kapitalanlagen
optimum size;optimale Größe
judgement by default;Versäumnisurteil
optimum costs;optimale Kosten
note of entry;Eintragungsvermerk
empowered;ermächtigt
commission of inquiry;Untersuchungsausschuss
sale for prompt delivery;Verkauf zur sofortigen Lieferung
to conduct a business;ein Geschäft leiten
price gain;Kursgewinn
to order a wagon;einen Waggon beschaffen
repayment period;Zeit zur Abzahlung
leak;lecken
insurance protection;Versicherungsschutz
index of exhibitors;Ausstellerverzeichnis
reduction in profits;Rückgang der Gewinne
kite;Gefälligkeitswechsel, Kellerwechsel
ring;Ring
at the point of delivery named;am benannten Lieferort
child labour;Kinderarbeit
industrial injury;Verletzung durch Betriebsunfall
broken account;ruhendes Konto
profit planning;Gewinnplanung
to pay a bill of exchange;einen Wechsel bezahlen, eine Tratte bezahlen
refusal;Weigerung, Verweigerung
pay into the bank;einzahlen
freight prepayable;Fracht vorauszahlbar
duty to report;Berichtspflicht
railroad network;Eisenbahnnetz
participate;teilnehmen, teilhaben
slack demand;flaue Nachfrage
unit;Einheit, Stück, Gerät
itemize;nach Posten aufgliedern
increase a credit;einen Kredit erhöhen
random;Zufall
gambling debts;Spielschulden
annotation;Erläuterung, Anmerkung
rate of erection;Montagesatz
substantial rises;beträchtliche Kursansteigerungen
one-sided;einseitig
bear all the risks of the goods;alle Gefahren der Ware übernehmen
appropriation;Inbesitznahme
group work;Gruppenarbeit
is stipulated;ist vorgeschrieben
to decline arbitration;die Schiedsgerichtsbarkeit ablehnen
fresh share;neue Aktie
deal in;handeln mit
draw cash from an account;Geld von einem Konto abheben
cost of construction;Kosten der Errichtung von Anlagen
tax class;Steuerklasse
to reach a settlement;einen Vergleich erreichen
regular employment;feste Anstellung
of higher value;hochwertig
in joint security;gemeinsam haftend
economic goods;Wirtschaftsgüter
apparent damage;offensichtlicher Schaden
license;Lizenz (US)
investment value;Anlagewert
fob airport;fob flughafen
mail robbery;Postraub
intermediary state;Zwischenstadium
option money;Prämie, Option
coloured paper;getöntes Papier, farbiges Papier
range of articles;Kollektion
