primevère à feuilles entières;Ganzblättrige Schlüsselblume
le développement;Vermehrung, Wuchs, Zunahme, Zuwachs
la dynamo;Dynamo
le Brabançon;Brabanter
la Wallonie;Wallonien
le canapé;Kanapee
ennuyeux;überdrüssig, verdrießlich
le gazouillement;Gepiepe, Gezwitscher
sursauter;aufschrecken / aufstehen, sich stellen
incliner;neigen zu / neigen, hinneigen
faire du bruit;brausen, Geräusch machen, lärmen
le sureau;Holunder
le disciple;Anhänger, Jünger
le Mexico;Mexiko-Stadt
le Bacchus;Bacchus
la myrtille;Blaubeere, Heidelbeere
dresser;abrichten, bändigen, dressieren
le Guatemala;Guatemala
la Madone, la Sainte-Vierge;Madonna
prier;bitten, ersuchen / beten
s'ériger en;posieren
astrance grande;Große Sterndolde
l'arrestation (f);Arrest, Haft
le Groenland, le Groënland;Grönland
la ruine;Ruine, Trümmer
Saverne;Zabern
l'autel (m);Altar
l'accommodement (m), le pacte;Einverständnis, Übereinkunft
le rond;Bezirk, Kreis, Runde
l'inférieur (m), le subordonné;Untergebene
vomir;speien, ausspeien, auswerfen, spucken / sich erbrechen, sich übergeben
allitération;Alliteration
alpinisme;Bergsport, Bergsteigen
le zig-zag;Zickzack
la sanction;Sanktion
le cidre;Apfelwein, Obstwein, Zider
le micromètre;Mikrometer
l'Islande (f);Island
le laboratoire;Laboratorium
chicaner;schikanieren, wegen Kleinigkeiten tadeln
la badine, la baguette;Gerte, Rute
la charnière;Gelenkband, Scharnier
la chimère;Chimäre
l'interface (f);Schnittstelle
basilic;Basilisk
la bassine, la cuve;Bottich, Wanne
sain;gesund, heil
la Gueldre;Geldern
Carinthie;Kärnten
l'application (f);Fleiß
la masse;Haufen, Menge, Stapel / Masse
en imposer à;Achtung einflößen, Eindruck machen auf, imponieren
kenyan;kenianisch
le Malawi;Malawi
l'Amsterdam (m);Amsterdam
renvoyer;abdanken, entlassen, verabschieden / austreiben, ausweisen, fortjagen, vertreiben, wegjagen / aufschieben, fristen, stunden, vertagen, verzögern / reflektieren, rückstrahlen / zurücksenden / übersenden
le chirurgien;Chirurg / Wundarzt
hausser;erhöhen
baroque;barock / Barock
le fil;Draht / Faden, Garn, Senkel, Zwirn
sèchement, brusquement, abruptement;abrupt
l'architecture (f);Architektur / Baukunst
Homère (m);Homer
l'usine de tissage (f), tissage;Weberei
Beho;Bocholz
le frein de secours, le frein de sûreté;Notbremse
serbe;serbisch
la Cassandre;Kassandra
le radeau;Floß
le Frison;Friese, Friesländer
anachorète;Anachoret
apostolique;apostolisch
le mythe;Mythus
la coccinelle;Marienkäfer
l'amphithéâtre (m);Amphitheater
supplémentaire;zusätzlich / Supplement-(-winkel)
l'océan Glacial du Nord (m);Arktischer Ozean
le franc-maçon;Freimaurer
la largeur;Breite / Ausdehnung, Geräumigkeit, Weite
déchirer;reißen, einreißen, zerreißen, zerren, zupfen
l'abécédaire (m);Fibel
compenser;ausgleichen, entschädigen, ersetzen, vergüten
la jupe;Rock, Frauenrock
l'anchois (m);Anchovis
martagon;Türkenbund-Lilie
l'aquarium (m);Aquarium
l'étalon (m), le cheval entier;Hengst
sublime;erhaben, sublim, majestätisch, großartig
gaélique;gälisch
la section;Sektion
le Batave;Bataver
masser;massieren
l'argon (m);Argon
le Roumain;Rumäne
provenir;entspringen, entstehen, herkommen, stammen, abstammen
le phosphore;Phosphor
remonter, raidir;aufziehen, spannen, anspannen, ausspannen, straffen
astronomique;astronomisch
baisser;senken
agrafer;raffen
l'espèce biologique (f);Spezies
lâcher;auslassen
le premier acompte, le versement initial;Anzahlung, Angeld
le Saint-Pétersbourg;Sankt Petersburg
oblique;schief, schräg, indirekt
campanule en thyrse;Strauß-Glockenblume
le droit;Befugnis, Recht
l'abonnement (m);Abonnement
le lard;Speck
la Canadienne;Kanadierin
confortable;bequem, gemächlich, wohnlich
la décoration, le décor;Auszeichnung, Dekoration
le charlatan;Quacksalber, Scharlatan
le magnésium;Magnesium
la matière plastique;Kunststoff
la barricade;Barrikade, Verhau
la mission;Mission
l'Afrique du Nord (f);Nordafrika
fourrer;einsetzen, inserieren / einrücken, stecken / füllen, stopfen / schieben
le choléra;Cholera
indulgent;nachsichtig / glimpflich
orner;aufputzen, schmücken, verzieren
le maçon;Maurer
l'interjection (f);Empfindungswort, Interjektion
apocryphe;apokryph
le pus;Eiter
apaiser;besänftigen, dämpfen, züchtigen
la cage;Bauer, Käfig
irriter;anreizen, aufhetzen, reizen, aufreizen
la semence;Same / Samen, Sperma
arrogant;arrogant, dünkelhaft, anmaßend, hochnäsig / hochmütig, übermütig / anspruchsvoll
la boule;Kloß, Klumpen
l'objectif (m);Objektiv
la Transylvanie;Siebenbürgen
greffer;pfropfen
anémone à fleurs de narcisse;Narzissenblütiges Windröschen
la Bolivie;Bolivien
énergique;drastisch, stark wirkend
œillet girofle;Stein-Nelke
sectionner;sezieren, zerlegen, zergliedern
la jambe;Bein / Pfote, Unterschenkel
le crucifix;Kruzifix
améthyste;Amethyst
ensorceler;hexen, Zauberei treiben, zaubern
maintenir;fortfahren, fortführen / aufbewahren, behalten, bergen, erhalten, konservieren / stemmen, unterhalten, unterstützen
Mulhouse;Mülhausen
le pont aérien;Luftbrücke
Malmedy;Malmünd
le chèvrefeuille;Geißblatt, Heckenkirsche
le commandant;Major
roucouler;girren, turteln, gurren
recommandé;eingeschrieben
anémie;Blutarmut, Anämie
inoffensif;gefahrlos, harmlos
s'indigner;aufgebracht sein, entrüstet sein, sich entrüsten
tresser, natter;schlingen, winden, flechten
le bras supérieur;Oberarm
les munitions;Munition
fanatique;fanatisch, leidenschaftlich
la balustrade, la rampe;Balustrade, Geländer, Schranke
la flotte;Flotte
la giboulée;Platzregen / Regenschauer
mirer;übersehen
pénétrer;durchdringen, eindringen
la chaux;Kalk
le néon;Neon
la noisette;Haselnuss
clématite;Waldrebe
le salon de réception;Empfangszimmer
la pesanteur, la gravitation;Schwerkraft, Gravitation
le béton;Beton
Californie, la Californie;Kalifornien
le procès-verbal;Geldstrafe / Protokoll
la carotte;Karotte, Möhre, Mohrrübe
compétent, qualifié;kompetent, zuständig
la couronne;Kranz, Krone
l'ivresse (f);Betrunkenheit
la sirène;Alarm / Sirene
la cheville;Knöchel
primevère minime;Zwerg-Primel
le Madagascar;Madagaskar
la ciboulette;Schnittlauch
anapeste;Anapäst
analogique;analogisch
l'Apollon (m);Apollo
la châtaigne;Kastanie
le mercure;Quecksilber
l'espion (m);Späher, Spion
le tire-bouchon;Korkenzieher
abreuver;bewässern / überschütten
dévorer;aufessen, aufzehren
la Leyde;Leiden
la destinée;Bestimmung / Fügung, Geschick, Los, Schicksal, Verhängnis
vibrer;schwirren, vibrieren
costaricien;costaricanisch
l'aube (f), le point du jour;Tagesanbruch
saxifrage aizoon;Trauben-Steinbrech
courageusement;beherzt
le mont Cervin;Matterhorn
le Limbourg;Limburg
ampli;Verstärker
latin;lateinisch
sérieux;ernst, ernsthaft, gesetzt
la cause;Anlass, Grund, Ursache, Veranlassung
rectangle;rechtwinklig / rechwinklig
la Vénus;Venus
mélinet glabre;Alpen-Wachsblume
le mollet;Wade
les Antilles;Antillen
le Joseph;Josef
la lotte;Quappe
la bruyère;Erika, Heidekraut
arbouse, arbousier;Erdbeerbaum
intransitif;intransitiv
le marin;Seemann / Matrose, Seefahrer
pétrocalle;Pyrenäen-Steinschmückel
anglican;anglikanisch
l'adhésion (f);Adhäsion
la promenade;Flanierstraße, Korso / Spaziergang / Foyer
amphore;Amphora
la réception;Rezeption / Annahme, Übernahme, Zusage / Empfangszimmer
la perle;Perle
la rosée;Tau
le sillon;Falte, Furche, Runzel
le propédeutique;Propädeutik
le carton;Karton, Pappe
Koweit;Kuwait
le Cubain;Kubaner
le sergent;Wachtmeister, Sergeant
hache (f);Axt, Beil, Hacke
la confession;Bekenntnis, Beichte, Eingeständnis, Geständnis
fin;fein / geistreich, sinnreich, witzig / spitzfindig, subtil
le phare;Leuchtturm
l'ananas (m);Ananas
l'Erythrée (f);Eritrea
batailleur, bagarreur;streitsüchtig, roh / Raufbold
l'algue (f);Alge
le nymphéa;Seerose
relever, rétablir, reconstituer;wiederherstellen
antisémite;Antisemit
la Berne;Bern
le chacal;Schakal
le gourmet, le gastronome;Gastronom
le psychopathe;Psychopath
la Bretagne;Bretagne, die Bretagne
pencher, s'incliner;hängen, sich bücken
balourd;Flaps
le Malais;Malaye
l'aération (f);Ventilation
le sperme;Samen, Sperma
le psaume;Psalm
dédier;weihen, widmen, zueignen
rhododendron ferrugineux, rosage ferrugineux;Rostroter Almrausch
archiviste;Archivar
tchadien;tschadisch
dégeler;tauen, auftauen
ânesse;Eselin
hanneton (m);Maikäfer
l'appendice (m);Zubehör, Nebensache / Anhang, Beilage, Supplement, Zugabe, Zusatz, Zuschlag, Zuschuss / Wurmfortsatz (des Blinddarms), Appendix [en sciencaj libroj], Appendix, Blinddarm
abstraire;abstrahieren
le moineau, le passereau;Spatz, Sperling
la rage;Tollwut
indien;indisch
introduire;ankündigen, anzeigen, avisieren, melden, anmelden, verkünden / stecken / einführen, einleiten / einsetzen, inserieren / einrücken
le secrétaire;Sekretär
occuper;bewohnen / bekleiden, besetzen, einnehmen, in Anspruch nehmen
le moyeu;Nabe
Téhéran;Teheran
souffler sur;anfachen
s'abonner;abonnieren
bananier;Bananenstaude
le Mali;Mali
acidité, l'acide (m);Säure
nuire;beeinträchtigen
la bouche;Mund, Mündung
l'antéchrist (m);Antichrist
unanime;einstimmig
faire avancer, amener à, pourchasser;anfeuern, jagen, treiben, vor sich hertreiben
aristocratique;aristokratisch
la denrée;Handelsgut, Ware
la procédure;Prozedur
le mât;Mast
la loge;Loge, Loggia
injuste;unbillig
le vicaire;Kaplan, Vikar
laotien;laotisch
ignorer, méconnaître, bouder;ignorieren, nicht berücksichtigen, unbeachtet lassen
sieversie des montagnes, benoîte des montagnes;Berg-Nelkenwurz, Petersbart
la femme en travail, accouchée;Wöchnerin
le grès;Sandstein
le rival;Nebenbuhler, Rivale
l'orgie (f);Orgie
drave;Felsenblümchen
le cirque;Zirkus
la bride;Zaum
abusif;falsch, irrig
aboyer;bellen
autisme;Autismus
le Turin;Turin
l'aluminium (m);Aluminium
Lapoutroie;Schnierlach
la Jamaïque;Jamaika
le myrthe;Myrte
ébouriffer;herumzausen
le montage;Zusammenstellung
le bol;Bassin, Wasserbecken / Becken, Schale
l'épinard (m);Spinat
le volt;Volt
acrobatique;akrobatisch
apothéose;Apotheose, Vergötterung
le baromètre;Barometer
le Damoclès;Damokles
le cassis;Aalbeere
isoler;absondern, isolieren
affirmatif;bejahend
le Nicaragua;Nicaragua
Orcades;Orkneyinseln
l'inconnu (m);Unbekannter / Fremder, Fremdling / Unbekannte / Niemand
l'agonie (f), les abois;Agonie, Todeskampf
la pollution;Pollution
le gendarme;Landpolizist, Gendarm
faire la cour;den Hof machen
adultère;ehebrecherisch / Ehebrecherin / Ehebrecher
le timbre;Alarm / Briefmarke / Stempel / Klangfarbe, Timbre
le camp;Campingplatz, Zeltplatz / Lager, Zeltlager
la soude caustique;Natron
vératre;Germer
autocratique;autokratisch
Creutzwald;Kreuzwald
l'ourse (m);Bärin
la minuscule;kleiner Buchstabe
le verdict;Verdikt, Wahrspruch
la muselière;Maulkorb
raiponce hémisphérique;Schmallblättrige Teufelskralle
Hainaut (m);Hennegau
l'accordéoniste (m);Akkordeonspieler
déposer;deponieren, hinterlegen
la louve;Lupine, Wölfin
s'abonner à;abonnieren
le proton;Proton
oser;sich erkühnen, unerschrocken sein, wagemutig sein, wagen, riskieren, kühn sein, sich erdreisten
le reflet;Widerschein
amalgame;Quecksilberlegierung, Amalgam
vaincre;bewältigen, besiegen, überwinden
le radium;Radium
sarcler;jäten, ausjäten
l'arène (f);Arena, Kampfplatz / Sand
l'appât (m);Anreiz
le fauteuil;Lehnstuhl / Sessel
punir;ahnden, strafen, bestrafen, züchtigen
Fouches;Offen
la garniture;Garnitur
mélinet;Wachblume
la raie;Rochen / Strich / Streifen
la mine;Aussehen, Gesicht, Miene / Bergwerk, Mine
le pirate de l'air;Flugzeugentführer
le flamant;Brenner, Brenndüse
l'aumône (f);Almosen
le forgeron;Schmied
polir;glätten, polieren
appuyer;anlegen, lehnen, anlehnen, stemmen, stützen, unterstützen / unterhalten
solvable;zahlungsfähig
les Asturies;Asturien
l'Estonie (f);Estland
les Balkans;Balkan
epilobe de Fleischer;Kies-Feuerkraut
le bacille;Bazillus
l'andorran (m);Andorraner
saxifrage changée;Kies-Steinbrech, Veränderter Steinbrech
hormin;Drachenmaul
le Nigeria;Nigeria
le grenier;Getreidemagazin, Getreidespeicher
le prologue;Prolog
le cachot;Karzer
l'Albanie (f);Albanien
sacrifier, faire offrande;erbieten, opfern
exiler, banni, bannir;bannen, ins Exil schicken, verbannen
algérien;algerisch
l'archevêque (m);Erzbischof
la corne, l'avertisseur (m);Hupe
recruter, enrôler, s'adjoindre des aides;werben, anwerben
l'amas (m);Haufen, Menge, Stapel
malgré;trotz, ungeachtet
la logique;Logik
le pédophile;Pädophile
le rayon de ruche;Wabe
andalou;andalusisch
le rivet;Niet(e)
teindre;färben
froisser;zerknittern, zerknüllen
le stupéfiant, la drogue;Betäubungsmittel, Schlafmittel, Narkotikum
la rate;Milz
ruiner;verheeren
fumer;rußen, räuchern / rauchen / düngen, mästen, fetten
la Minerve;Minerva
la dune;Düne
brûlé;verbrannt
la sage-femme, l'accoucheuse (f), sage-femme, accoucheuse;Hebamme
les Rameaux;Palmsonntag
le lutin;Elf / Genius, guter Geist / Kobold, Heinzelmännchen
en gros;engros
la perspective;Aussicht, Fernsicht, Perspektive
la Libye;Libyen
la Moldavie;Moldau, Moldawien
ordonner;ordnen, anordnen / befehlen, gebieten, verordnen, vorschreiben
le coupon;Coupon, Zinsabschnitt
la sandre;Zander
rigoureux;rigoros
batiste;Batist
le kilowatt-heure;Kilowattstunde
l'abstension totale d'alcool (f), l'abstention (f);Abstinenz
la Calabre;Kalabrien
anesthésiste;Anästhesist
camerounais;kamerunisch
apéritif, apéro;Aperitif
le distillateur;Destillateur
le reste;Übriges, Rest / Bestand, Rückstand, Überbleibsel
la largeur d'esprit;Toleranz
l'attentat (m);Anschlag, Attentat
balte;baltisch
tressaillir;zusammenzucken, zittern / erbeben, erschaudern, erzittern, zucken
avocat;Avocato, Avocado
haïtien;haitianisch
le chrome;Chrom
l'anathème (m);Bann, Fluch, Bannfluch
aspirine;Aspirin
l'affront (m), l'injure (f);Beschimpfung / Anstoß, Beleidigung, Kränkung
Alscheid;Alscheid
le mutilé, l'infirme (m);Invalide
nuisible;schädlich
l'esturgeon (m);Stör
le golfe;Bucht, Golf, Haff, Meerbusen
l'enflure (f), la protubérance;Beule, Knolle, Knoten
le Jourdain;Jordan
l'abaissement (m);Degradierung, Erniedrigung / Ruin
le dépôt;Depot
le chamois;Gemse
altruiste;Altruist
la tonnelle;Altan, Laube
mignon;hübsch / graziös, hold, zierlich / allerliebst, anmutig, lieblich, reizend
soyeux;seiden / seidig
immobile, au repos;still
humble;demütig, kleinlaut, unterwürfig
le/la barbare;barbarisch / Barbar
beaupré;Bugspriet
le transport;Anfall, Delirium
le pénis;Penis
Angelsberg;Angelsberg
l'arrière-neveu (m);Großneffe
le poirier;Birnbaum
hérisson (m);Igel
la promesse;Gelöbnis, Versprechen, Zusage
les ordures, l'abattis (m);Müll, Schutt
aubade;Aubade, Morgenständchen
aimer mieux, préférer;bevorzugen, den Vorzug geben, vorziehen
scandinave;skandinavisch
l'ambassadeur (m);Botschafter, Gesandter
Dakar;Dakar
nourrir, alimenter;nähren, ernähren, beköstigen
la sauterelle;Grashüpfer, Heuschrecke / Wanderheuschrecke
brûler;brennen, glühen
la gaufre;Waffel
réprimander, reprocher;schelten, vorwerfen, Vorwürfe machen
le Congo;Kongo, Zaire
le poireau;Porree
le lézard;Eidechse
le roseau;Rohr, Schilf
la révolte;Aufruhr, Aufstand, Revolte
la synthèse;Synthese
le crabe;Krabbe
le Palestinien;Palästina
saponaire rose;Rotes Seifenkraut
le souverain;Souverän
le bâillement;Gähnen
silène;Leimkraut
l'absolution (f), acquittement;Freispruch, Absolution
confirmer;bekräftigen, bestätigen, konfirmieren
la tragédie;Tragödie, Trauerspiel
la disparition;Abgang, Abreise, Abzug / Untergang, Verderbnis
Waimes;Weismes
la participation;Tantieme
entamer;anbrechen
exterminer;austilgen, ausrotten, tilgen, vertilgen
le villageois;Dörfler
fausser, falsifier;fälschen
le bouquet;Blumenstrauß, Strauch
la jument;Stute
le pâté;Pastete
le joint;Junktur, Fuge, Naht, Stoß
le Bosphore;Bosporus
refuser;ablehnen, abschlagen, ausschlagen, versagen, weigern, verweigern
l'abstraction (f);abstrakter Begriff
le platane;Platane
le Bohémien;Böhme
le César;Cäsar
Hong Kong (m);Hongkong
Côte d'Ivoire, la Côte d'Ivoire;Elfenbeinküste
l'attribut (m);Attribut, Merkmal
le squelette;Gerippe, Skelett
architectural, architectonique;architektonisch
la cendre;Asche
le Gand;Gent
hectare (m);Hektar
accréditer;beglaubigen
la priorité;Vorrang, Priorität
enrouler;rollen, wickeln
la veuve;Witwe
le duvet;Daune, Flaumfeder
affermer, prendre à bail;pachten, verpachten
baïonnette;Bajonett
l'audace (f);Draufgängertum, Wagemut, Waghalsigkeit, Kühnheit
l'azote (m);Stickstoff
le rabot;Hobel
le nombril;Nabel
ingrat;undankbar
alcôve;Alkoven
amphibie;amphibisch
l'olivier (m);Olivenbaum / Ölbaum
l'aubergine (f);Eierpflanze, Aubergine, Eierfrucht
l'abbesse (f);Äbtissin
confire;einlegen, einmachen
le centime;Centime
Molsheim;Molsheim
l'Albanais (m);Albaner
sainfoin des Alpes;Alpen-Süssklee
toucher;rühren, anrühren, berühren
automatiser;automatisieren
le mandarin;Mandarin
l'Anglo-Saxon (m);Angelsachse
l'auditeur (m);Zuhärer / Zuhörer
archiduchesse;Erzherzogin
l'averse (f);Platzregen
le coing;Quitte (Frucht)
enjoindre;anordnen, befehlen, gebieten, verordnen, vorschreiben
le tuyau, le tube;Rohr, Röhre, Schlauch
le Yémen;Jemen
le sourcil;Augenbraue
profiter;profitieren
appendicite;Blinddarmentzündung
en abrégé;summarisch
saxifrage musquée;Moschus-Steinbrech
l'Abyssin (m);Abessinier
le chignon;Dutt
guinéen;guineisch
finir;beschließen, enden, beenden, endigen, beendigen, erledigen
la robe;Kleid, Robe
exulter;frohlocken, jauchzen
maltais;maltesisch
la meule;Mahlstein, Mühlstein
saler;einsalzen, pökeln / salzen
le marxisme;Marxismus
le Nigérian;Nigerianer
gourmand;gefräßig
l'aubépine (f);Hagedorn, Weißdorn
l'adoption (f);Adoption
l'abrogation (f), l'annulation (f), l'abolition (f);Abschaffung, Aufhebung
slovène;slowenisch
le prédécesseur;Vorfahr
périodique;periodisch
la boucherie;Schlachtfeld, Schlachthof
têtu, tenace, obstiné;eigensinnig, halsstarrig, hartnäckig, starrköpfig, trotzig
le pis;Euter
choyer, dorloter;hätscheln, verhätscheln, verzärteln, verziehen
le paradoxe;Paradoxon
la giroflée des jardins;Levkoje
le papa;Väterchen
Altrodeschhof;Altrodeschhof
halte (f);Aufenthalt, Stockung / Haltestelle / Stillstand
Wintzenheim;Winzenheim
la résine;Harz
la motion;Resolution
l'aéronaute (m);Luftschiffer
la cire d'abeilles;Bienenwachs
la selle;Sattel
hypocrite (m);Scheinheiliger, Heuchler
bruyère couleur de chair;Schneeheide, Schnee-Glockenheide
l'ajonc (m);Stechginster
à cause de rien;aus keinem Grunde, grundlos, um nichts, wegen nichts
l'Arabe (f);Araberin
le vestiaire;Garderobe
-iste;-ist
le Cambodge;Kambodscha
autarcie;Autarkie
le choc;Anstoß / Kollision / Rütteln, Schütteln
le dogme;Dogma, Glaubenssatz
Saxon;sächsisch
la dent;Zacken, Zahn, Zinke
appointer;besolden
amande amère;Bittermandel, Bittere Mandel
salir;anschwärzen, fälschlich beschuldigen, verleumden / flecken, beflecken, einflecken, sudeln / beschmutzen, einschmutzen
la congestion;Blutandrang, Kongestion
relatif à la maison, domestique;häuslich
le saut;Sprung
hostile;abfällig, abgeneigt, ungünstig
la Pentecôte;Pfingsten
faire croître, dérouler, révéler;entwickeln
braver;trotzen
anatomique;anatomisch
embellir, rendre plus beau;verschönern
l'aria (f), l'air de musique (m);Arie
la file, la rangée;Kette, Reihe, Reihenfolge, Tour
saponaire;Seifenkraut
brabançon;brabantisch
l'uranium (m);Uran
drave faux aizoon;Immergrünes Felsenblümchen
le mélange;Mischen, Mischung
rigide;starr, steif, spröde
batave;batavisch
rosser, passer à tabac;dreschen
le calcium;Kalzium
détourner;verführen, verlocken / ableiten, abwenden, entwenden / umleiten
accoucheur;Geburtshelfer
la guêpe;Wespe
assourdir;betäuben
le rocher;Fels, Felsen, Steinmasse
le marais, le marécage;Sumpf
transitif;transitiv, übergehend
le voile;Segel / Schleier
Himalaya (m);Himalaya
ambassadrice;Botschafterin
Battincourt;Bettenhofen
la Mecque;Mekka
le partisan de la même doctrine, l'ami politique (m);Gleichgesinnter
le pli;Falte
la fois;Mal
l'écrevisse (f), le cancer;Krebs
esquisser;entwerfen, skizzieren
le pyrite;Gries, Eisen-Kies, Schwefel-Kies, Pyrit
la névralgie faciale;Gesichtsreißen
l'épine dorsale (f);Rückgrat / Wirbelsäule
la pie;Elster
le gaité;Heiterkeit
le jardinier;Gärtner
le noyer;Nussbaum
la panique;Panik
végéter;vegetieren
abattre;erschlagen, schlachten / herunterziehen, entmutigen, deprimieren / ausgraben / schöpfen / fällen / demütigen, erniedrigen / erschlaffen / niederreißen, abbauen / ermorden, töten / durchgehen, durchqueren, hindurchgehen / beruhigen / bewältigen, besiegen, überwinden
amphétamine;Amphetamin
la mer Adriatique;Adria, Adriatisches Meer
distrait;achtlos, fahrlässig
le deuil;Trauer
l'omnibus (m);Omnibus
l'ancre (f);Anker
s'étendre;sich legen, sich hinlegen
allopathie;Allopathie
le sursis;Aufschub, Verzögerung
l'arithmétique (f);Arithmetik, Rechenkunst
puiser;schöpfen
lyrique;lyrisch
mousse bleue;Himmelsherold
concorder;kongruieren
apprêter;zurichten
le Tibet;Tibet
jonquille;Jonquille
silène acaule;Stengelloses Leimkraut
aconit napel, casque de Jupiter;Blauer Eisenhut
androsace des Alpes;Alpen-Mannsschild
la lavande;Lavendel
dissiper;entzweien, scheiden / auseinandertreiben, auseinanderjagen / vergeuden, verschwenden
afro-asiatique;afro-asiatisch
la gueule;Rachen, Schlund
le domestique;Haustier / Bursche, Diener, Gehilfe
la Varsovie;Warschau
heureux;glücklich
le télégraphe;Telegraph
apporter;bringen, heranbringen, überbringen
convenable;gehörig / angemessen, geeignet, zeitgemäß / bequem, gelegen, gemächlich / tauglich, tüchtig
aérer;lüften / ventilieren
anarchiste, anar;Anarchist
piquer;stacheln, stechen, sticheln / steppen
le cadavre;Kadaver, Leiche
le ravitaillement;Versorgung / Proviant
souder, braser;löten, schweißen
la balafre;Narbe / (Axt-) Schlag / Scheibe, Schnitte / Einschnitt, Schnitt
la grammaire;Grammatik, Sprachlehre
divin;köstlich / göttlich / erhaben, sublim, majestätisch, großartig
l'écorce (f);Baumrinde, Rinde / Borke, Hülse, Schale
retirer;entlocken, entziehen, extrahieren, zapfen, zücken / zurückziehen
le plan;Karte / Entwurf, Plan, Grundriss
réaliser;ausführen, ausrichten / bestellen, erfüllen, leisten / realisieren, verwirklichen
exciter;anfeuern, aufregen, anregen, ermutigen, erregen
la magie;Magie, Zauber
nigérien;nigrisch
se mettre en travers;blockieren
le Vatican;Vatikan
huppe (f);Wiedehopf
la tripe;Kaldaunen, Eingeweide, Kutteln
le procureur;Staatsanwalt
des Philippines, philippin;philippinisch
pédiculaire;Läusekraut
régulier;regelmäßig, vorschriftsmäßig / reguläre (Matrix), regulär, reguläre (Distribution), regelmäßiges (Vielflach), regelmäßiges (Vieleck)
la trachée;Trachee, Luftröhre
la Rhodésie;Rhodesien
accomplir;ausführen, bestellen, erfüllen, leisten
le fléau;Dreschflegel, Flegel / Plage
sous;unter, unterhalb
la planche;Beet / Brett, Regal, Wandbrett / Tafel
le sac tyrolien;Tornister
automobiliste;Autofahrer, Kraftfahrer, Wagenführer
présider;den Vorsitz haben, führen, präsidieren
tylenchus, anguillule;Aaltierchen
le trou d'air;Luftloch
l'acrobate (m);Akrobat
la lessive;Lauge
le sommet;höchster Punkt, Apogäum, Gipfel, Spitze, Kulminationspunkt, Höhepunkt / Stift, Zacke, Zinke, Zipfel / First, Wipfel
râteler;harken
regarder bouche bée;anglotzen / glotzen
copier;imitieren, nachahmen, nachbilden / plagiieren, nachdrucken, lichtpausen, spiegeln, Abzug machen, abziehen, kopieren, nachäffen
modifier;modifizieren
dépouiller;abdecken, entdecken, enthüllen / entblößen / skalpieren, enthäuten / entwenden, stehlen
le noble, le seigneur;Adliger, Edelmann
faire le courtage;maklern
les jumelles (f);Fernglas
le chardonneret;Stieglitz, Distelfink
l'azur (m);Azur
impair;ungerade
la répercussion;Reaktion / Echo, Widerhall
réviser;revidieren
la troupe;Truppe
le Limbourgeois;Limburger
ennuyer;verdrießen
bathyscaphe;Tiefseetauchboot
le dé à coudre, la digitale;Fingerhut
superbe;entzückend
graver;gravieren
l'Eden (m);Eden
la psychiatrie;Psychiatrie
être décent;gehören, schicken, sich gehören, ziemen
repousser;zurückstoßen, abweisen / austreiben, ausweisen, fortjagen, vertreiben, wegjagen / verdrängen / ablehnen / zurücksenden / abschlagen, ausschlagen, versagen, weigern, verweigern
la Laponie;Lappland
anthologie;Anthologie, Auswahl / Lernlesebuch, Chrestomathie
promouvoir;entwickeln / promovieren
l'enseigne (f);Schild
la courroie, la lanière;Riemen
les obsèques;Begräbnis, Beisetzung
la Belgrade;Belgrad
lécher;lecken
bélître;Bettler, Lump
yougoslave;jugoslawisch
le Cléopâtre;Kleopatra
se fier à;sich verlassen auf, vertrauen / betrauen mit, Vertrauen setzen in, zutrauen
majesté;erhaben, majestätisch
coeloglosse;Hohlzunge
le Mars;Mars
présenter;aufführen, bieten, anbieten, darstellen, vorstellen, präsentieren
le radis;Radieschen
clouer;nageln
imprévu;unversehens
l'ambre jaune (m);Bernstein
la multitude;Haufen, Menge, Stapel / Unmasse, Unzahl
hurler;blöken, brüllen, quaken, wiehern / heulen
le gravier;Schutt
la galerie;Galerie, Stollen, Wandelgang
le loup;Wolf
bande passante;Bandbreite
la serpe;Sichel
baroudeur;Raufbold
androsace petit jasmin;Zwerg-Mannsschild
le Neptune;Neptun
déserter;verlassen, desertieren
le castor;Biber
centaurée;Flockenblume
menteur;erlogen
le type;Typus
la cornemuse;Dudelsack
l'Enée (m);Aeneas
incapable;unfähig, unvermögend
la droite;(die politische) Rechte
la Vulgate;Vulgata
l'aulne (m);Erle
inattendu;unvermutet
la pioche, houe (f);Hacke
Sarreguemines;Saargemünd
luxembourgeois;luxemburgisch
consulter;befragen, konsultieren, nachschlagen, zu Rate ziehen
hybride;hybrid, zwitterhaft
Chateau Salins;Salzburg
annuaire, almanach;Jahrbuch, Almanach
les adhérents;Anhang / Gefolge
la lionne;Löwin
le silex;Flint, Kiesel, Kieselstein
d'acier;stählern
l'afféterie (f), l'affectation (f), la minauderie;Affektiertheit
rejeter de la nourriture;sich erbrechen, sich übergeben
censurer;zensieren
l'atout (m);Trumpf
psychiatrique;psychiatrisch
antisémitisme;Antisemitismus
l'Arabie (f);Arabien
la panthère;Panther
prédire;vorhersagen / wahrsagen / prognostizieren
l'Apocalypse (f);Apokalypse
l'allée (f);Allee, Baumgang
volontaire;willig
basalte;Basalt
livrer;angeben, anzeigen, denunzieren, hinterbringen / entäußern, fortlassen, überlassen, unterlassen / liefern
l'univers (m);Universum, Weltall
la foi;Zuversicht / Glaube, Glauben
